CaseID,Activity,Timestamp
18,Er. Akhilesh Mishra (Assigned),6/9/2023
18,Hajari Prasad (Visits the Place),6/9/2023
18,"Electrical, Plumbing, 9W LED Bulb, E-27, Duster-Poochha (2'x2') (Indent the item)",6/9/2023
18,Revisit the location,6/9/2023
18,Status: Resolved,6/10/2023
20,Electrical (Office/Academics/Hostels) (Request received),4/1/2023
20,Er. Satya Prakash Sahu (Assigned),6/9/2023
20,Vinod Yadav (Visits the Place),6/9/2023
20,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
20,Revisit the location,6/9/2023
20,Status: Resolved,6/10/2023
21,Electrical (Office/Academics/Hostels) (Request received),4/1/2023
21,Er. Satya Prakash Sahu (Assigned),6/9/2023
21,Devendra Kumar  (Visits the Place),6/9/2023
21,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
21,Revisit the location,6/9/2023
21,Status: Resolved,6/10/2023
22,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
22,Er. Satya Prakash Sahu (Assigned),6/9/2023
22,Vinod Yadav (Visits the Place),6/9/2023
22,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
22,Revisit the location,6/9/2023
22,Status: Resolved,6/10/2023
23,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
23,Er. Satya Prakash Sahu (Assigned),6/9/2023
23,Vinod Yadav (Visits the Place),6/9/2023
23,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
23,Revisit the location,6/9/2023
23,Status: Resolved,6/10/2023
24,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
24,Er. Satya Prakash Sahu (Assigned),6/9/2023
24,Anand Singh (Visits the Place),6/9/2023
24,"Fan, Electrical, Fan Regulator Anchor socket model, Switch 6 Amp anchor, Piano type (Indent the item)",6/9/2023
24,Revisit the location,6/9/2023
24,Status: Resolved,6/10/2023
26,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
26,Er. Satya Prakash Sahu (Assigned),6/9/2023
26,Devendra Kumar  (Visits the Place),6/9/2023
26,"Fan, Fan Regulator Anchor socket model (Indent the item)",6/9/2023
26,Revisit the location,6/9/2023
26,Status: Resolved,6/10/2023
27,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
27,Er. Satya Prakash Sahu (Assigned),6/9/2023
27,Devendra Kumar  (Visits the Place),6/9/2023
27,"Fan, Fan Regulator Anchor socket model (Indent the item)",6/9/2023
27,Revisit the location,6/9/2023
27,Status: Resolved,6/10/2023
29,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
29,Er. Satya Prakash Sahu (Assigned),6/9/2023
29,Devendra Kumar  (Visits the Place),6/9/2023
29,"Fan, Fan Regulator Anchor socket model (Indent the item)",6/9/2023
29,Revisit the location,6/9/2023
29,Status: Resolved,6/10/2023
30,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
30,Er. Satya Prakash Sahu (Assigned),6/9/2023
30,Devendra Kumar  (Visits the Place),6/9/2023
30,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
30,Revisit the location,6/9/2023
30,Status: Resolved,6/10/2023
31,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
31,Er. Satya Prakash Sahu (Assigned),6/9/2023
31,Devendra Kumar  (Visits the Place),6/9/2023
31,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
31,Revisit the location,6/9/2023
31,Status: Resolved,6/10/2023
32,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
32,Er. Satya Prakash Sahu (Assigned),6/9/2023
32,Devendra Kumar  (Visits the Place),6/9/2023
32,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/9/2023
32,Revisit the location,6/9/2023
32,Status: Resolved,6/10/2023
33,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
33,Status: Pending,4/6/2023
34,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
34,Er. Satya Prakash Sahu (Assigned),6/9/2023
34,Devendra Kumar  (Visits the Place),6/9/2023
34,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/9/2023
34,Revisit the location,6/9/2023
34,Status: Resolved,6/10/2023
35,Electrical (Office/Academics/Hostels) (Request received),4/26/2023
35,Er. Satya Prakash Sahu (Assigned),6/9/2023
35,Devendra Kumar  (Visits the Place),6/9/2023
35,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/9/2023
35,Revisit the location,6/9/2023
35,Status: Resolved,6/10/2023
36,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
36,Er. Satya Prakash Sahu (Assigned),6/9/2023
36,Vinod Yadav (Visits the Place),6/9/2023
36,"Electrical, Switch 6 Amp anchor, Piano type (Indent the item)",6/9/2023
36,Revisit the location,6/9/2023
36,Status: Resolved,6/10/2023
37,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
37,Er. Satya Prakash Sahu (Assigned),6/9/2023
37,Devendra Kumar  (Visits the Place),6/9/2023
37,"Electrical, Electrical, Electrical, Electrical, Electrical, Electrical, 8 MM PVC Cable Clip, Switch 6 Amp anchor, Piano type, 2.5 MM Copper wire, Black, Switch 16 amp  anchor 4 hole, 4 sq.mm wire, black, 4 sq.mm wire green (Indent the item)",6/9/2023
37,Revisit the location,6/9/2023
37,Status: Resolved,6/10/2023
38,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
38,Er. Satya Prakash Sahu (Assigned),6/10/2023
38,Devendra Kumar  (Visits the Place),6/10/2023
38,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
38,Revisit the location,6/10/2023
38,Status: Resolved,6/11/2023
39,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
39,Er. Satya Prakash Sahu (Assigned),6/10/2023
39,Devendra Kumar  (Visits the Place),6/10/2023
39,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
39,Revisit the location,6/10/2023
39,Status: Resolved,6/11/2023
40,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
40,Er. Satya Prakash Sahu (Assigned),6/10/2023
40,Devendra Kumar  (Visits the Place),6/10/2023
40,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
40,Revisit the location,6/10/2023
40,Status: Resolved,6/11/2023
41,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
41,Er. Satya Prakash Sahu (Assigned),6/10/2023
41,Devendra Kumar  (Visits the Place),6/10/2023
41,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
41,Revisit the location,6/10/2023
41,Status: Resolved,6/11/2023
42,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
42,Er. Satya Prakash Sahu (Assigned),6/10/2023
42,Devendra Kumar  (Visits the Place),6/10/2023
42,"Fan, Common, Fan Regulator Anchor socket model, Heckshaw blade single side (Indent the item)",6/10/2023
42,Revisit the location,6/10/2023
42,Status: Resolved,6/11/2023
43,Electrical (Office/Academics/Hostels) (Request received),4/2/2023
43,Er. Satya Prakash Sahu (Assigned),6/10/2023
43,Devendra Kumar  (Visits the Place),6/10/2023
43,"Fan, Fan Regulator Anchor socket model (Indent the item)",6/10/2023
43,Revisit the location,6/10/2023
43,Status: Resolved,6/11/2023
45,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
45,Er. Satya Prakash Sahu (Assigned),6/10/2023
45,Bablu Prasad (Visits the Place),6/10/2023
45,"Electrical, Electrical, PVC Tape roll, Switch 16 amp  anchor 4 hole (Indent the item)",6/10/2023
45,Revisit the location,6/10/2023
45,Status: Resolved,6/11/2023
46,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
46,Er. Satya Prakash Sahu (Assigned),6/10/2023
46,Hajari Prasad (Visits the Place),6/10/2023
46,"Electrical, Electrical, Electrical, Electrical, Electrical, Electrical, Electrical, Common, Electrical, Electrical, Blanker plate, Roma, Casing- (30x16) mm, 8 Way PVC Box, PVC Casing Pin, 20 Amp Switch, Roma Modular, 20 Amp Modular socket, Roma, 1.5 Sq.mm 3 core copper lead, Screw Steel-35/4, extension board spike guard, 8 way plate roma modular (Indent the item)",6/10/2023
46,Revisit the location,6/10/2023
46,Status: Resolved,6/11/2023
47,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/3/2023
47,Er. Akhilesh Mishra (Assigned),6/10/2023
47,Anand Singh (Visits the Place),6/10/2023
47,"Fan, Fan Regulator (ABB) Cherion Socket model (Indent the item)",6/10/2023
47,Revisit the location,6/10/2023
47,Status: Resolved,6/11/2023
48,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/5/2023
48,Er. Akhilesh Mishra (Assigned),6/10/2023
48,Bablu Prasad (Visits the Place),6/10/2023
48,"Electrical, Electrical, 9W LED Bulb, B-22, 10W LED Batten fitting, Crompton (Indent the item)",6/10/2023
48,Revisit the location,6/10/2023
48,Status: Resolved,6/11/2023
50,External Electrification (Request received),4/4/2023
50,Er. Satya Prakash Sahu (Assigned),6/10/2023
50,Anand Singh (Visits the Place),6/10/2023
50,"Electrical, PVC Tape roll (Indent the item)",6/10/2023
50,Revisit the location,6/10/2023
50,Status: Resolved,6/11/2023
52,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
52,Er. Satya Prakash Sahu (Assigned),6/10/2023
52,Revisit the location,6/10/2023
52,Status: Resolved,6/11/2023
53,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
53,Er. Satya Prakash Sahu (Assigned),6/10/2023
53,Devendra Kumar  (Visits the Place),6/10/2023
53,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/10/2023
53,Revisit the location,6/10/2023
53,Status: Resolved,6/11/2023
54,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
54,Er. Satya Prakash Sahu (Assigned),6/10/2023
54,Devendra Kumar  (Visits the Place),6/10/2023
54,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/10/2023
54,Revisit the location,6/10/2023
54,Status: Resolved,6/11/2023
55,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
55,Er. Satya Prakash Sahu (Assigned),6/10/2023
55,Devendra Kumar  (Visits the Place),6/10/2023
55,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
55,Revisit the location,6/10/2023
55,Status: Underway,6/10/2023
56,Electrical (Office/Academics/Hostels) (Request received),4/3/2023
56,Er. Satya Prakash Sahu (Assigned),6/10/2023
56,Devendra Kumar  (Visits the Place),6/10/2023
56,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
56,Status: Underway,4/6/2023
57,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
57,Er. Satya Prakash Sahu (Assigned),6/10/2023
57,Devendra Kumar  (Visits the Place),6/10/2023
57,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
57,Revisit the location,6/10/2023
57,Status: Resolved,6/11/2023
58,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
58,Er. Satya Prakash Sahu (Assigned),6/10/2023
58,Devendra Kumar  (Visits the Place),6/10/2023
58,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
58,Revisit the location,6/10/2023
58,Status: Resolved,6/11/2023
59,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
59,Er. Satya Prakash Sahu (Assigned),6/10/2023
59,Devendra Kumar  (Visits the Place),6/10/2023
59,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
59,Revisit the location,6/10/2023
59,Status: Resolved,6/11/2023
60,Electrical (Office/Academics/Hostels) (Request received),4/8/2023
60,Er. Satya Prakash Sahu (Assigned),6/10/2023
60,Vinod Yadav (Visits the Place),6/10/2023
60,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
60,Revisit the location,6/10/2023
60,Status: Resolved,6/11/2023
61,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
61,Er. Satya Prakash Sahu (Assigned),6/10/2023
61,Devendra Kumar  (Visits the Place),6/10/2023
61,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
61,Revisit the location,6/10/2023
61,Status: Resolved,6/11/2023
62,Electrical (Office/Academics/Hostels) (Request received),4/15/2023
62,Er. Satya Prakash Sahu (Assigned),6/10/2023
62,Rajendra Prasad (Visits the Place),6/10/2023
62,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
62,Revisit the location,6/10/2023
62,Status: Resolved,6/11/2023
63,Electrical (Office/Academics/Hostels) (Request received),4/4/2023
63,Er. Satya Prakash Sahu (Assigned),6/10/2023
63,Rajendra Prasad (Visits the Place),6/10/2023
63,"Electrical, 10W LED Batten fitting, Crompton (Indent the item)",6/10/2023
63,Revisit the location,6/10/2023
63,Status: Resolved,6/11/2023
64,Electrical (Office/Academics/Hostels) (Request received),4/4/2023
64,Er. Satya Prakash Sahu (Assigned),6/10/2023
64,Hajari Prasad (Visits the Place),6/10/2023
64,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
64,Revisit the location,6/10/2023
64,Status: Resolved,6/11/2023
65,Electrical (Office/Academics/Hostels) (Request received),4/4/2023
65,Er. Satya Prakash Sahu (Assigned),6/10/2023
65,Hajari Prasad (Visits the Place),6/10/2023
65,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
65,Revisit the location,6/10/2023
65,Status: Resolved,6/11/2023
66,Electrical (Office/Academics/Hostels) (Request received),4/4/2023
66,Er. Satya Prakash Sahu (Assigned),6/10/2023
66,Hajari Prasad (Visits the Place),6/10/2023
66,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
66,Revisit the location,6/10/2023
66,Status: Resolved,6/11/2023
67,Electrical (Office/Academics/Hostels) (Request received),4/4/2023
67,Er. Satya Prakash Sahu (Assigned),6/10/2023
67,Hajari Prasad (Visits the Place),6/10/2023
67,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
67,Revisit the location,6/10/2023
67,Status: Resolved,6/11/2023
68,Electrical (Office/Academics/Hostels) (Request received),4/4/2023
68,Er. Satya Prakash Sahu (Assigned),6/10/2023
68,Hajari Prasad (Visits the Place),6/10/2023
68,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
68,Revisit the location,6/10/2023
68,Status: Resolved,6/11/2023
69,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
69,Er. Satya Prakash Sahu (Assigned),6/10/2023
69,Pankaj Singh  (Visits the Place),6/10/2023
69,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
69,Revisit the location,6/10/2023
69,Status: Resolved,6/11/2023
70,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
70,Er. Satya Prakash Sahu (Assigned),6/10/2023
70,Hajari Prasad (Visits the Place),6/10/2023
70,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
70,Revisit the location,6/10/2023
70,Status: Resolved,6/11/2023
71,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/4/2023
71,Er. Akhilesh Mishra (Assigned),6/10/2023
71,Anand Singh (Visits the Place),6/10/2023
71,"Electrical, 24W  LED Fitting EESL(Old repaired) (Indent the item)",6/10/2023
71,Revisit the location,6/10/2023
71,Status: Resolved,6/11/2023
72,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/4/2023
72,Er. Akhilesh Mishra (Assigned),6/10/2023
72,Anand Singh (Visits the Place),6/10/2023
72,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/10/2023
72,Status: Underway,4/5/2023
73,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
73,Er. Satya Prakash Sahu (Assigned),6/10/2023
73,Anand Singh (Visits the Place),6/10/2023
73,"Electrical, Socket 6 Amp anchor (Indent the item)",6/10/2023
73,Revisit the location,6/10/2023
73,Status: Resolved,6/11/2023
74,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/5/2023
74,Er. Akhilesh Mishra (Assigned),6/10/2023
74,Anand Singh (Visits the Place),6/10/2023
74,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/10/2023
74,Revisit the location,6/10/2023
74,Status: Resolved,6/11/2023
75,Electrical (Office/Academics/Hostels) (Request received),4/8/2023
75,Er. Satya Prakash Sahu (Assigned),6/10/2023
75,Pankaj Singh  (Visits the Place),6/10/2023
75,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
75,Revisit the location,6/10/2023
75,Status: Resolved,6/11/2023
76,Electrical (Office/Academics/Hostels) (Request received),5/5/2023
76,Status: Pending,5/30/2023
77,Electrical (Office/Academics/Hostels) (Request received),5/30/2023
77,Status: Pending,4/5/2023
78,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
78,Er. Satya Prakash Sahu (Assigned),6/10/2023
78,Devendra Kumar  (Visits the Place),6/10/2023
78,"Electrical, Switch 16 amp  anchor 4 hole (Indent the item)",6/10/2023
78,Revisit the location,6/10/2023
78,Status: Resolved,6/11/2023
79,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
79,Er. Satya Prakash Sahu (Assigned),6/10/2023
79,Devendra Kumar  (Visits the Place),6/10/2023
79,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
79,Revisit the location,6/10/2023
79,Status: Resolved,6/11/2023
80,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
80,Er. Satya Prakash Sahu (Assigned),6/10/2023
80,Devendra Kumar  (Visits the Place),6/10/2023
80,"Electrical, Socket 6 Amp anchor (Indent the item)",6/10/2023
80,Revisit the location,6/10/2023
80,Status: Resolved,6/11/2023
81,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
81,Er. Satya Prakash Sahu (Assigned),6/10/2023
81,Devendra Kumar  (Visits the Place),6/10/2023
81,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
81,Revisit the location,6/10/2023
81,Status: Resolved,6/11/2023
82,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
82,Er. Satya Prakash Sahu (Assigned),6/10/2023
82,Devendra Kumar  (Visits the Place),6/10/2023
82,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
82,Revisit the location,6/10/2023
82,Status: Resolved,6/11/2023
83,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
83,Er. Satya Prakash Sahu (Assigned),6/10/2023
83,Devendra Kumar  (Visits the Place),6/10/2023
83,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/10/2023
83,Revisit the location,6/10/2023
83,Status: Resolved,6/11/2023
84,Electrical (Office/Academics/Hostels) (Request received),4/5/2023
84,Er. Satya Prakash Sahu (Assigned),6/10/2023
84,Vinod Yadav (Visits the Place),6/10/2023
84,"Electrical, Electrical, Electrical, Switch 6 Amp anchor, Piano type, Socket 6 Amp anchor, Switch 16 amp  anchor 4 hole (Indent the item)",6/10/2023
84,Revisit the location,6/10/2023
84,Status: Resolved,6/11/2023
85,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
85,Er. Satya Prakash Sahu (Assigned),6/11/2023
85,Devendra Kumar  (Visits the Place),6/11/2023
85,"Fan, Electrical, Electrical, Capacitor 2.5 MFD x, 20W LED Tube Rod-4 ft., Tuberod Fitting , Ujala,EESL (Indent the item)",6/11/2023
85,Revisit the location,6/11/2023
85,Status: Resolved,6/12/2023
86,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/6/2023
86,Er. Akhilesh Mishra (Assigned),6/11/2023
86,Anand Singh (Visits the Place),6/11/2023
86,"Electrical, Switch 6 Amp anchor, Piano type (Indent the item)",6/11/2023
86,Revisit the location,6/11/2023
86,Status: Resolved,6/12/2023
87,Electrical (Residence/Visitor Hostels/Sport Complex) (Request received),4/7/2023
87,Er. Akhilesh Mishra (Assigned),6/11/2023
87,Anand Singh (Visits the Place),6/11/2023
87,"Electrical, Switch 6 Amp anchor, Piano type (Indent the item)",6/11/2023
87,Revisit the location,6/11/2023
87,Status: Resolved,6/12/2023
88,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
88,Er. Satya Prakash Sahu (Assigned),6/11/2023
88,Anand Singh (Visits the Place),6/11/2023
88,"Electrical, Electrical, 1.5 Sq.mm 3 core copper lead, TOP 6 amp 3 pin  (Indent the item)",6/11/2023
88,Revisit the location,6/11/2023
88,Status: Resolved,6/12/2023
89,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
89,Er. Satya Prakash Sahu (Assigned),6/11/2023
89,Revisit the location,6/11/2023
89,Status: Resolved,6/12/2023
90,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
90,Er. Satya Prakash Sahu (Assigned),6/11/2023
90,Revisit the location,6/11/2023
90,Status: Resolved,6/12/2023
91,Electrical (Office/Academics/Hostels) (Request received),4/6/2023
91,Er. Satya Prakash Sahu (Assigned),6/11/2023
91,Anand Singh (Visits the Place),6/11/2023
91,"Electrical, 20W LED Tube Rod-4 ft. (Indent the item)",6/11/2023
91,Status: Underway,4/8/2023
92,Electrical (Office/Academics/Hostels) (Request received),4/8/2023
92,Er. Satya Prakash Sahu (Assigned),6/11/2023
92,Revisit the location,6/11/2023
92,Status: Resolved,6/12/2023
93,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
93,Er. Satya Prakash Sahu (Assigned),6/11/2023
93,Devendra Kumar  (Visits the Place),6/11/2023
93,"Electrical, Electrical, 1.0 Sq.mm copper wire, single core, Socket 6 Amp anchor (Indent the item)",6/11/2023
93,Revisit the location,6/11/2023
93,Status: Resolved,6/12/2023
94,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
94,Er. Satya Prakash Sahu (Assigned),6/11/2023
94,Devendra Kumar  (Visits the Place),6/11/2023
94,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
94,Revisit the location,6/11/2023
94,Status: Resolved,6/12/2023
95,Electrical (Office/Academics/Hostels) (Request received),4/7/2023
95,Er. Satya Prakash Sahu (Assigned),6/11/2023
95,Devendra Kumar  (Visits the Place),6/11/2023
95,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
95,Revisit the location,6/11/2023
95,Status: Resolved,6/12/2023
96,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
96,Er. Satya Prakash Sahu (Assigned),6/11/2023
96,Devendra Kumar  (Visits the Place),6/11/2023
96,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
96,Revisit the location,6/11/2023
96,Status: Resolved,6/12/2023
97,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
97,Er. Satya Prakash Sahu (Assigned),6/11/2023
97,Vinod Yadav (Visits the Place),6/11/2023
97,"Electrical, Switch 6 Amp anchor, Piano type (Indent the item)",6/11/2023
97,Revisit the location,6/11/2023
97,Status: Resolved,6/12/2023
98,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
98,Er. Satya Prakash Sahu (Assigned),6/11/2023
98,Devendra Kumar  (Visits the Place),6/11/2023
98,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
98,Revisit the location,6/11/2023
98,Status: Resolved,6/12/2023
99,Electrical (Office/Academics/Hostels) (Request received),4/9/2023
99,Er. Satya Prakash Sahu (Assigned),6/11/2023
99,Vinod Yadav (Visits the Place),6/11/2023
99,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
99,Revisit the location,6/11/2023
99,Status: Resolved,6/12/2023
100,Electrical (Office/Academics/Hostels) (Request received),4/8/2023
100,Er. Satya Prakash Sahu (Assigned),6/11/2023
100,Vinod Yadav (Visits the Place),6/12/2023
100,"Plumbing, Duster-Poochha (2'x2') (Indent the item)",6/11/2023
100,Revisit the location,6/12/2023
100,Status: Resolved,6/13/2023
101,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
101,Er. Satya Prakash Sahu (Assigned),6/11/2023
101,Pankaj Singh  (Visits the Place),6/11/2023
101,"Electrical, Switch 6 Amp ABB (Indent the item)",6/11/2023
101,Revisit the location,6/11/2023
101,Status: Resolved,6/12/2023
102,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
102,Er. Satya Prakash Sahu (Assigned),6/11/2023
102,Hajari Prasad (Visits the Place),6/11/2023
102,"Electrical, Electrical, 6MM PVC Cable Clip, 10W LED Batten fitting, Crompton (Indent the item)",6/11/2023
102,Revisit the location,6/11/2023
102,Status: Resolved,6/12/2023
103,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
103,Status: Pending,4/10/2023
104,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
104,Er. Satya Prakash Sahu (Assigned),6/11/2023
104,Vinod Yadav (Visits the Place),6/11/2023
104,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
104,Revisit the location,6/11/2023
104,Status: Resolved,6/12/2023
105,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
105,Er. Satya Prakash Sahu (Assigned),6/11/2023
105,Devendra Kumar  (Visits the Place),6/11/2023
105,"Fan, Capacitor 2.5 MFD x (Indent the item)",6/11/2023
105,Revisit the location,6/11/2023
105,Status: Resolved,6/12/2023
106,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
106,Er. Satya Prakash Sahu (Assigned),6/11/2023
106,Devendra Kumar  (Visits the Place),6/11/2023
106,"Electrical, Fan, 6/16 Amp Socket, 6 Pin, MK, Fan Regulator MK (Indent the item)",6/11/2023
106,Revisit the location,6/12/2023
106,Status: Resolved,6/13/2023
107,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
107,Er. Satya Prakash Sahu (Assigned),6/11/2023
107,Devendra Kumar  (Visits the Place),8/6/2023
107,"Fan, Fan Regulator MK (Indent the item)",6/11/2023
107,Revisit the location,6/13/2023
107,Status: Resolved,8/7/2023
108,Electrical (Office/Academics/Hostels) (Request received),4/10/2023
108,Er. Satya Prakash Sahu (Assigned),6/11/2023
108,Devendra Kumar  (Visits the Place),8/6/2023
108,"Fan, Fan Regulator MK (Indent the item)",6/11/2023
